time,spring,summer,fall,winter
21900,76.5,76.5,76.5,80.5
22200,76.5,76.5,76.5,80.5
22500,76.5,76.5,76.5,80.5
22800,76.5,76.5,76.5,80.5
23100,76.5,76.5,76.5,80.5
23400,76.5,76.5,76.5,80.5
23700,76.5,76.5,76.5,80.5
24000,76.5,76.5,76.5,80.5
24300,76.5,76.5,76.5,80.5
24600,76.5,76.5,76.5,80.5
24900,76.5,76.5,76.5,80.5
25200,76.5,76.5,76.5,80.5
25500,76.5,76.5,76.5,80.5
25800,76.5,76.5,76.5,80.5
26100,76.5,76.5,76.5,80.5
26400,76.5,76.5,76.5,80.5
26700,76.5,76.5,76.5,80.5
27000,76.5,76.5,76.5,80.5
27300,76.5,76.5,76.5,80.5
27600,76.5,76.5,76.5,80.5
27900,76.5,76.5,76.5,80.5
28200,76.5,76.5,76.5,80.5
28500,76.5,76.5,76.5,80.5
28800,90.9,121.2,90.9,119.7
29100,90.9,121.2,90.9,119.7
29400,90.9,121.2,90.9,119.7
29700,90.9,121.2,90.9,119.7
30000,90.9,121.2,90.9,119.7
30300,90.9,121.2,90.9,119.7
30600,90.9,121.2,90.9,119.7
30900,90.9,121.2,90.9,119.7
31200,90.9,121.2,90.9,119.7
31500,90.9,121.2,90.9,119.7
31800,90.9,121.2,90.9,119.7
32100,90.9,121.2,90.9,119.7
32400,90.9,121.2,90.9,158.4
32700,90.9,121.2,90.9,158.4
33000,90.9,121.2,90.9,158.4
33300,90.9,121.2,90.9,158.4
33600,90.9,121.2,90.9,158.4
33900,90.9,121.2,90.9,158.4
34200,90.9,121.2,90.9,158.4
34500,90.9,121.2,90.9,158.4
34800,90.9,121.2,90.9,158.4
35100,90.9,121.2,90.9,158.4
35400,90.9,121.2,90.9,158.4
35700,90.9,121.2,90.9,158.4
36000,90.9,121.2,90.9,158.4
36300,90.9,121.2,90.9,158.4
36600,90.9,121.2,90.9,158.4
36900,90.9,121.2,90.9,158.4
37200,90.9,121.2,90.9,158.4
37500,90.9,121.2,90.9,158.4
37800,90.9,121.2,90.9,158.4
38100,90.9,121.2,90.9,158.4
38400,90.9,121.2,90.9,158.4
38700,90.9,121.2,90.9,158.4
39000,90.9,121.2,90.9,158.4
39300,90.9,121.2,90.9,158.4
39600,111.4,187.1,111.4,158.4
39900,111.4,187.1,111.4,158.4
40200,111.4,187.1,111.4,158.4
40500,111.4,187.1,111.4,158.4
40800,111.4,187.1,111.4,158.4
41100,111.4,187.1,111.4,158.4
41400,111.4,187.1,111.4,158.4
41700,111.4,187.1,111.4,158.4
42000,111.4,187.1,111.4,158.4
42300,111.4,187.1,111.4,158.4
42600,111.4,187.1,111.4,158.4
42900,111.4,187.1,111.4,158.4
43200,90.9,121.2,90.9,119.7
43500,90.9,121.2,90.9,119.7
43800,90.9,121.2,90.9,119.7
44100,90.9,121.2,90.9,119.7
44400,90.9,121.2,90.9,119.7
44700,90.9,121.2,90.9,119.7
45000,90.9,121.2,90.9,119.7
45300,90.9,121.2,90.9,119.7
45600,90.9,121.2,90.9,119.7
45900,90.9,121.2,90.9,119.7
46200,90.9,121.2,90.9,119.7
46500,90.9,121.2,90.9,119.7
46800,111.4,187.1,111.4,119.7
47100,111.4,187.1,111.4,119.7
47400,111.4,187.1,111.4,119.7
47700,111.4,187.1,111.4,119.7
48000,111.4,187.1,111.4,119.7
48300,111.4,187.1,111.4,119.7
48600,111.4,187.1,111.4,119.7
48900,111.4,187.1,111.4,119.7
49200,111.4,187.1,111.4,119.7
49500,111.4,187.1,111.4,119.7
49800,111.4,187.1,111.4,119.7
50100,111.4,187.1,111.4,119.7
50400,111.4,187.1,111.4,119.7
50700,111.4,187.1,111.4,119.7
51000,111.4,187.1,111.4,119.7
51300,111.4,187.1,111.4,119.7
51600,111.4,187.1,111.4,119.7
51900,111.4,187.1,111.4,119.7
52200,111.4,187.1,111.4,119.7
52500,111.4,187.1,111.4,119.7
52800,111.4,187.1,111.4,119.7
53100,111.4,187.1,111.4,119.7
53400,111.4,187.1,111.4,119.7
53700,111.4,187.1,111.4,119.7
54000,111.4,187.1,111.4,119.7
54300,111.4,187.1,111.4,119.7
54600,111.4,187.1,111.4,119.7
54900,111.4,187.1,111.4,119.7
55200,111.4,187.1,111.4,119.7
55500,111.4,187.1,111.4,119.7
55800,111.4,187.1,111.4,119.7
56100,111.4,187.1,111.4,119.7
56400,111.4,187.1,111.4,119.7
56700,111.4,187.1,111.4,119.7
57000,111.4,187.1,111.4,119.7
57300,111.4,187.1,111.4,119.7
57600,111.4,187.1,111.4,158.4
57900,111.4,187.1,111.4,158.4
58200,111.4,187.1,111.4,158.4
58500,111.4,187.1,111.4,158.4
58800,111.4,187.1,111.4,158.4
59100,111.4,187.1,111.4,158.4
59400,111.4,187.1,111.4,158.4
59700,111.4,187.1,111.4,158.4
60000,111.4,187.1,111.4,158.4
60300,111.4,187.1,111.4,158.4
60600,111.4,187.1,111.4,158.4
60900,111.4,187.1,111.4,158.4
61200,111.4,187.1,111.4,158.4
61500,111.4,187.1,111.4,158.4
61800,111.4,187.1,111.4,158.4
62100,111.4,187.1,111.4,158.4
62400,111.4,187.1,111.4,158.4
62700,111.4,187.1,111.4,158.4
63000,111.4,187.1,111.4,158.4
63300,111.4,187.1,111.4,158.4
63600,111.4,187.1,111.4,158.4
63900,111.4,187.1,111.4,158.4
64200,111.4,187.1,111.4,158.4
64500,111.4,187.1,111.4,158.4
64800,90.9,121.2,90.9,158.4
65100,90.9,121.2,90.9,158.4
65400,90.9,121.2,90.9,158.4
65700,90.9,121.2,90.9,158.4
66000,90.9,121.2,90.9,158.4
66300,90.9,121.2,90.9,158.4
66600,90.9,121.2,90.9,158.4
66900,90.9,121.2,90.9,158.4
67200,90.9,121.2,90.9,158.4
67500,90.9,121.2,90.9,158.4
67800,90.9,121.2,90.9,158.4
68100,90.9,121.2,90.9,158.4
68400,90.9,121.2,90.9,119.7
68700,90.9,121.2,90.9,119.7
69000,90.9,121.2,90.9,119.7
69300,90.9,121.2,90.9,119.7
69600,90.9,121.2,90.9,119.7
69900,90.9,121.2,90.9,119.7
70200,90.9,121.2,90.9,119.7
70500,90.9,121.2,90.9,119.7
70800,90.9,121.2,90.9,119.7
71100,90.9,121.2,90.9,119.7
71400,90.9,121.2,90.9,119.7
71700,90.9,121.2,90.9,119.7
72000,90.9,121.2,90.9,119.7
72300,90.9,121.2,90.9,119.7
72600,90.9,121.2,90.9,119.7
72900,90.9,121.2,90.9,119.7
73200,90.9,121.2,90.9,119.7
73500,90.9,121.2,90.9,119.7
73800,90.9,121.2,90.9,119.7
74100,90.9,121.2,90.9,119.7
74400,90.9,121.2,90.9,119.7
74700,90.9,121.2,90.9,119.7
75000,90.9,121.2,90.9,119.7
75300,90.9,121.2,90.9,119.7
75600,90.9,121.2,90.9,119.7
75900,90.9,121.2,90.9,119.7
76200,90.9,121.2,90.9,119.7
76500,90.9,121.2,90.9,119.7
76800,90.9,121.2,90.9,119.7
77100,90.9,121.2,90.9,119.7
77400,90.9,121.2,90.9,119.7
77700,90.9,121.2,90.9,119.7
78000,90.9,121.2,90.9,119.7
78300,90.9,121.2,90.9,119.7
78600,90.9,121.2,90.9,119.7
78900,90.9,121.2,90.9,119.7
79200,76.5,121.2,76.5,80.5
79500,76.5,121.2,76.5,80.5
79800,76.5,121.2,76.5,80.5
80100,76.5,121.2,76.5,80.5
80400,76.5,121.2,76.5,80.5
80700,76.5,121.2,76.5,80.5
81000,76.5,121.2,76.5,80.5
81300,76.5,121.2,76.5,80.5
81600,76.5,121.2,76.5,80.5
81900,76.5,121.2,76.5,80.5
82200,76.5,121.2,76.5,80.5
82500,76.5,121.2,76.5,80.5
82800,76.5,121.2,76.5,80.5
83100,76.5,121.2,76.5,80.5
83400,76.5,121.2,76.5,80.5
83700,76.5,121.2,76.5,80.5
84000,76.5,121.2,76.5,80.5
84300,76.5,121.2,76.5,80.5
84600,76.5,121.2,76.5,80.5
84900,76.5,121.2,76.5,80.5
85200,76.5,121.2,76.5,80.5
85500,76.5,121.2,76.5,80.5
85800,76.5,121.2,76.5,80.5
86100,76.5,121.2,76.5,80.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
